system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1715364+644191,2020,2,28.934331059611928,77.04690740930204,0.7078906297683716,7367432281379934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04690740930204,28.934331059611928]}"
+1715365+644212,2020,1,28.935296748542356,77.04695232506624,0.3142968714237213,7367436576347252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04695232506624,28.935296748542356]}"
+1715366+644226,2020,3,28.935925569241242,77.04695232506624,0.6626562476158142,7367432281379970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04695232506624,28.935925569241242]}"
+1715367+644221,2020,8,28.935650460185478,77.04700285530097,0.5085155963897705,7367436576347259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04700285530097,28.935650460185478]}"
+1715368+644195,2020,6,28.93451072266875,77.04704215659466,0.29906249046325684,7367440871314530,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04704215659466,28.93451072266875]}"
+1715368+644197,2020,3,28.934623012079268,77.04704215659466,0.36124998331069946,7367440871314533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04704215659466,28.934623012079268]}"
+1715368+644205,2020,3,28.93496736627151,77.04705712851604,0.1764843761920929,7367445166281836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04705712851604,28.93496736627151]}"
+1715368+644211,2020,4,28.935195688072895,77.0470758434178,0.5203906297683716,7367445166281841,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0470758434178,28.935195688072895]}"
+1715368+644215,2020,7,28.935373746995282,77.04706140620789,0.6157812476158142,7367445166281844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04706140620789,28.935373746995282]}"
+1715368+644238,2020,7,28.936329811119094,77.04708707235886,0.5689062476158142,7367449461249160,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.936329811119094]}"
+1715369+644173,2020,7,28.93350653451186,77.04708707235886,0.8165624737739563,7367445166281803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04708707235886,28.93350653451186]}"
+1715369+644177,2020,5,28.933670797878104,77.04711402181738,0.7288281321525574,7367449461249103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04711402181738,28.933670797878104]}"
+1715369+644179,2020,5,28.933796562017875,77.04707808920602,0.5803906321525574,7367445166281810,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04707808920602,28.933796562017875]}"
+1715370+644213,2020,1,28.935341664306563,77.04717690388728,0.5609375238418579,7367458051183733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04717690388728,28.935341664306563]}"
+1715370+644216,2020,1,28.935476411599183,77.04717690388728,0.38664060831069946,7367458051183736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04717690388728,28.935476411599183]}"
