system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1716902+643685,2023,1,28.911626140805808,77.11598785465083,0.5663281083106995,7374037941080677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11598785465083,28.911626140805808]}"
+1716903+643670,2023,1,28.91095240434272,77.11603277041503,0.38218748569488525,7374042236047958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11603277041503,28.91095240434272]}"
+1716904+643599,2023,5,28.90774541877841,77.11604175356787,0.6624218821525574,7374042236047886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11604175356787,28.90774541877841]}"
+1716904+643651,2023,38,28.909831874225162,77.11614505982554,0.8892968893051147,7374042236047929,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11614505982554,28.909831874225162]}"
+1716905+643550,2023,8,28.9055400547559,77.11605522829713,0.6330468654632568,7374037941080541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11605522829713,28.9055400547559]}"
+1716905+643727,2023,1,28.913512602902458,77.11612260194345,0.32320311665534973,7374050825982607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11612260194345,28.913512602902458]}"
+1716906+643561,2023,6,28.906011670280062,77.11614505982554,0.1869531273841858,7374050825982439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11614505982554,28.906011670280062]}"
+1716906+643710,2023,9,28.912659203382546,77.11621243347186,0.7017187476158142,7374055120949883,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11621243347186,28.912659203382546]}"
+1716907+643631,2023,8,28.909161388245003,77.11611698747292,0.7321875095367432,7374055120949805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11611698747292,28.909161388245003]}"
+1716907+643693,2023,11,28.911899718642335,77.1161961004667,0.717343807220459,7374055120949865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1161961004667,28.911899718642335]}"
+1716907+643699,2023,5,28.912201062587645,77.11619446716618,0.5541406273841858,7374055120949873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11619446716618,28.912201062587645]}"
+1716907+643731,2023,3,28.91367729403788,77.11618248962905,0.23195311427116394,7374055120949906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11618248962905,28.91367729403788]}"
+1716907+643814,2023,2,28.917397816506277,77.11621243347186,0.38023436069488525,7374059415917285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11621243347186,28.917397816506277]}"
+1716907+644010,2023,6,28.92622376417275,77.11610014406133,0.27906250953674316,7374037941081002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11610014406133,28.92622376417275]}"
+1716908+643549,2023,2,28.905517596873796,77.11623489135395,0.44578123092651367,7374059415917021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11623489135395,28.905517596873796]}"
+1716908+643684,2023,9,28.911501374794124,77.11623239603372,0.5794531106948853,7374059415917152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11623239603372,28.911501374794124]}"
+1716908+643724,2023,15,28.913252091470063,77.11619446716618,0.746874988079071,7374050825982599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11619446716618,28.913252091470063]}"
+1716908+643736,2023,4,28.91388315795716,77.1162236624129,0.6130468845367432,7374059415917206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1162236624129,28.91388315795716]}"
+1716909+643598,2023,1,28.90771846931989,77.11630226500027,0.5262500047683716,7374068005851662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11630226500027,28.90771846931989]}"
+1716909+643704,2023,2,28.912479540325723,77.11627980711816,0.6557031273841858,7374063710884472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11627980711816,28.912479540325723]}"
+1716910+643639,2023,2,28.909560015652332,77.11632472288237,0.11554687470197678,7374068005851703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11632472288237,28.909560015652332]}"
+1716910+643680,2023,1,28.91140156198478,77.11634718076448,0.24828124046325684,7374072300819040,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11634718076448,28.91140156198478]}"
+1716910+643694,2023,5,28.912003433225138,77.11633819761164,0.5264843702316284,7374068005851757,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11633819761164,28.912003433225138]}"
+1716910+643722,2023,4,28.913254337258273,77.11634718076448,0.5656249523162842,7374068005851785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11634718076448,28.913254337258273]}"
+1716910+643730,2023,1,28.913647350195077,77.11634718076448,0.5092968940734863,7374072300819090,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11634718076448,28.913647350195077]}"
+1716911+643598,2023,1,28.90771846931989,77.11639209652868,0.6461719274520874,7374076595786254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11639209652868,28.90771846931989]}"
+1716911+643697,2023,3,28.912135186133476,77.11637712460728,0.5997656583786011,7374072300819056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11637712460728,28.912135186133476]}"
+1716911+644011,2023,2,28.926268679936957,77.11636963864657,0.606640636920929,7374072300819371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11636963864657,28.926268679936957]}"
+1716912+643550,2023,6,28.9055400547559,77.11639209652868,0.6127343773841858,7374072300818909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11639209652868,28.9055400547559]}"
+1716912+643729,2023,4,28.913579976548768,77.11641455441078,0.4822656214237213,7374076595786384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11641455441078,28.913579976548768]}"
+1716913+643704,2023,4,28.912445853502568,77.11647069911604,0.5818749666213989,7374085185720950,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11647069911604,28.912445853502568]}"
+1716913+643711,2023,4,28.91277149279306,77.11645947017499,0.6771093606948853,7374080890753662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11645947017499,28.91277149279306]}"
+1716914+643669,2023,12,28.910870058775007,77.11645572719465,0.7211718559265137,7374080890753619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11645572719465,28.910870058775007]}"
+1716914+643699,2023,8,28.91221566021101,77.11648754252762,0.6874219179153442,7374085185720945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11648754252762,28.91221566021101]}"
+1716915+643705,2023,10,28.912448099290778,77.11663464165538,0.6032031178474426,7374102365590134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11663464165538,28.912448099290778]}"
+1716915+643724,2023,12,28.913273052160026,77.11653058680164,0.6229687333106995,7374085185720968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11653058680164,28.913273052160026]}"
+1716915+643731,2023,4,28.91366980807718,77.1165493017034,0.4314843714237213,7374089480688274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1165493017034,28.91366980807718]}"
+1716916+643617,2023,4,28.908549410957697,77.11659421746761,0.2032812535762787,7374093775655456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11659421746761,28.908549410957697]}"
+1716916+643667,2023,1,28.9108176570501,77.1166166753497,0.4528124928474426,7374098070622803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1166166753497,28.9108176570501]}"
+1716916+643672,2023,3,28.910997320106926,77.1166166753497,0.4296875,7374098070622806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1166166753497,28.910997320106926]}"
+1716916+643674,2023,1,28.911132067399542,77.1166166753497,0.12523438036441803,7374098070622810,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1166166753497,28.911132067399542]}"
+1716916+643707,2023,1,28.91261428761834,77.1166166753497,0.4789062440395355,7374098070622843,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1166166753497,28.91261428761834]}"
+1716916+643711,2023,4,28.912760263852007,77.11658298852656,0.6678906083106995,7374093775655549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11658298852656,28.912760263852007]}"
+1716916+644017,2023,2,28.92651571664009,77.1166166753497,0.3132031261920929,7374098070623152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1166166753497,28.92651571664009]}"
+1716917+643682,2023,7,28.91145931082447,77.11661025881196,0.2395312488079071,7374093775655520,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11661025881196,28.91145931082447]}"
+1716917+643719,2023,20,28.913009546343353,77.11657849695013,0.7067968845367432,7374098070622849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11657849695013,28.913009546343353]}"
+1716917+643725,2023,6,28.91337036964914,77.11666159111391,0.6129687428474426,7374102365590154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11666159111391,28.91337036964914]}"
+1716918+643574,2023,4,28.90661803309684,77.11668404899602,0.41484373807907104,7374102365590005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11668404899602,28.90661803309684]}"
+1716918+643691,2023,2,28.911895635391044,77.11668404899602,0.669921875,7374102365590123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11668404899602,28.911895635391044]}"
+1716919+643547,2023,4,28.905360391699073,77.11675142264232,0.28593751788139343,7374110955524568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11675142264232,28.905360391699073]}"
+1716919+643633,2023,15,28.909194700770126,77.11670351249384,0.936328113079071,7374098070622765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11670351249384,28.909194700770126]}"
+1716919+643678,2023,3,28.911281786613564,77.11673645072092,0.5914062261581421,7374106660557405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11673645072092,28.911281786613564]}"
+1716919+643688,2023,2,28.911738430216325,77.11675142264232,0.3412500023841858,7374110955524711,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11675142264232,28.911738430216325]}"
+1716919+643717,2023,15,28.91290773727782,77.11681430471221,0.5896093845367432,7374110955524736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11681430471221,28.91290773727782]}"
+1716919+643736,2023,6,28.91389438689821,77.11670650687812,0.3453906178474426,7374102365590167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11670650687812,28.91389438689821]}"
+1716920+643562,2023,8,28.906034128162165,77.11677388052443,0.6183593273162842,7374110955524583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11677388052443,28.906034128162165]}"
+1716920+643665,2023,1,28.91072782552169,77.11679633840653,0.5540624856948853,7374115250491985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11679633840653,28.91072782552169]}"
+1716920+643689,2023,1,28.91180580386263,77.11679633840653,0.2849999964237213,7374115250492009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11679633840653,28.91180580386263]}"
+1716920+643709,2023,7,28.91267203645803,77.11675142264232,0.6061718463897705,7374110955524731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11675142264232,28.91267203645803]}"
+1716921+643641,2023,11,28.9095763486575,77.11689433643753,0.1530468761920929,7374128135393846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11689433643753,28.9095763486575]}"
+1716921+643685,2023,7,28.911568391966117,77.11684125417074,0.6021093726158142,7374115250492003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11684125417074,28.911568391966117]}"
+1716921+643700,2023,2,28.912277419386793,77.11684125417074,0.5603906512260437,7374119545459315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11684125417074,28.912277419386793]}"
+1716922+643668,2023,7,28.91083690666333,77.11682842109525,0.7543749809265137,7374110955524691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11682842109525,28.91083690666333]}"
+1716922+643674,2023,2,28.91110960951744,77.11688616993494,0.4868749976158142,7374123840426585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11688616993494,28.91110960951744]}"
+1716922+643695,2023,1,28.912075298447867,77.11688616993494,0.5831249952316284,7374123840426607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11688616993494,28.912075298447867]}"
+1716923+643696,2023,1,28.912120214212074,77.11693108569915,0.6129687428474426,7374128135393904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11693108569915,28.912120214212074]}"
+1716923+643720,2023,1,28.91319819255302,77.11693108569915,0.458984375,7374128135393928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11693108569915,28.91319819255302]}"
+1716924+643547,2023,8,28.905360391699073,77.11695354358126,0.19078125059604645,7374128135393752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11695354358126,28.905360391699073]}"
+1716924+643644,2023,10,28.909730695556316,77.1170074424983,0.7669531106948853,7374132430361146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1170074424983,28.909730695556316]}"
+1716924+643678,2023,1,28.911311730456365,77.11697600146336,0.5460156202316284,7374132430361182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11697600146336,28.911311730456365]}"
+1716924+643684,2023,2,28.911558767159498,77.11697600146336,0.4051562547683716,7374132430361187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11697600146336,28.911558767159498]}"
+1716924+643695,2023,2,28.912052840565764,77.11697600146336,0.6111718416213989,7374132430361198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11697600146336,28.912052840565764]}"
+1716924+643709,2023,7,28.91264637030706,77.11701450068982,0.5609375238418579,7374132430361211,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11701450068982,28.91264637030706]}"
+1716924+643717,2023,3,28.913048473338996,77.11694605762055,0.6789844036102295,7374128135393924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11694605762055,28.913048473338996]}"
+1716925+643630,2023,4,28.909144544833428,77.1169872304044,0.7165625095367432,7374136725328429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1169872304044,28.909144544833428]}"
+1716925+643650,2023,4,28.910020402235443,77.11702091722756,0.43085935711860657,7374132430361153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11702091722756,28.910020402235443]}"
+1716925+643664,2023,2,28.91066045187538,77.11702091722756,0.025234375149011612,7374136725328463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11702091722756,28.91066045187538]}"
+1716925+643667,2023,4,28.910795199167996,77.11699845934545,0.7448437213897705,7374132430361170,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11699845934545,28.910795199167996]}"
+1716925+643680,2023,1,28.91140156198478,77.11702091722756,0.2199999988079071,7374136725328480,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11702091722756,28.91140156198478]}"
+1716925+643688,2023,1,28.911760888098424,77.11702091722756,0.5172656178474426,7374136725328488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11702091722756,28.911760888098424]}"
