system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1716309+643239,2020,3,28.891548794205736,77.08935280647668,0.39585936069488525,7371491025473701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08935280647668,28.891548794205736]}"
+1716309+643274,2020,1,28.893165761717153,77.08935280647668,0.7425000071525574,7371491025473738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08935280647668,28.893165761717153]}"
+1716309+643277,2020,2,28.893278051127666,77.08935280647668,0.803906261920929,7371491025473740,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08935280647668,28.893278051127666]}"
+1716310+643232,2020,6,28.891234383856293,77.08937526435878,0.8708593845367432,7371491025473694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08937526435878,28.891234383856293]}"
+1716314+643460,2020,5,28.90146619494242,77.08954145268635,0.06945312023162842,7371508205343105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08954145268635,28.90146619494242]}"
+1716316+643230,2020,9,28.891144552327884,77.08962230106192,0.7956249713897705,7371512500310172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08962230106192,28.891144552327884]}"
+1716316+643454,2020,8,28.901228141392124,77.08959984317981,0.3425000011920929,7371508205343101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08959984317981,28.901228141392124]}"
+1716318+643460,2020,7,28.901436678868794,77.08974421527905,0.15398436784744263,7371529680179584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08974421527905,28.901436678868794]}"
+1716319+643190,2020,8,28.889331078348068,77.08974581941348,0.22078125178813934,7371525385212019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08974581941348,28.889331078348068]}"
+1716323+643229,2020,9,28.891099636563677,77.08993671141135,0.916796863079071,7371542565081243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08993671141135,28.891099636563677]}"
+1716331+643189,2020,1,28.889347921759644,77.09034095328921,0.5053906440734863,7371585514754165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09034095328921,28.889347921759644]}"
+1716336+643107,2020,14,28.8855685810286,77.09053024115265,0.3817187547683716,7371598399655966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09053024115265,28.8855685810286]}"
+1716336+643202,2020,1,28.889931826694323,77.09056553211025,0.4273437261581421,7371606989590658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09056553211025,28.889931826694323]}"
+1716337+643205,2020,5,28.890039624528416,77.09057451526309,0.4376562535762787,7371602694623364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09057451526309,28.890039624528416]}"
+1716339+643363,2020,4,28.897095891085176,77.09070027940287,0.7092187404632568,7371619874492704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09070027940287,28.897095891085176]}"
+1716340+643111,2020,8,28.885777118505267,77.09072273728496,0.3228124976158142,7371619874492452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09072273728496,28.885777118505267]}"
+1716343+643102,2020,2,28.88541779239162,77.09087994245968,0.39585939049720764,7371637054361629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09087994245968,28.88541779239162]}"
+1716343+643106,2020,4,28.88556376862529,77.09089117140074,0.5958593487739563,7371637054361632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09089117140074,28.88556376862529]}"
+1716343+643189,2020,3,28.889303005995437,77.09087994245968,0.5149999856948853,7371637054361715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09087994245968,28.889303005995437]}"
+1716343+643207,2020,8,28.89013394763325,77.09081256881338,0.5816406011581421,7371624169459846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09081256881338,28.89013394763325]}"
+1716345+643135,2020,4,28.886866325787263,77.09098100292915,0.14054687321186066,7371645644296253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09098100292915,28.886866325787263]}"
+1716345+643172,2020,1,28.88858435376814,77.09096977398809,0.21187500655651093,7371645644296292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09096977398809,28.88858435376814]}"
+1716346+643109,2020,2,28.885732202741064,77.0910146897523,0.5310937762260437,7371649939263524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0910146897523,28.885732202741064]}"
+1716346+643203,2020,12,28.88990936881222,77.09096977398809,0.8172656297683716,7371641349329024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09096977398809,28.88990936881222]}"
+1716347+643219,2020,8,28.89067293680372,77.0909922318702,0.7382031083106995,7371641349329042,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0909922318702,28.89067293680372]}"
+1716348+643106,2020,6,28.885597455448444,77.0910596055165,0.3748437464237213,7371649939263521,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0910596055165,28.885597455448444]}"
+1716348+643205,2020,3,28.890036630144138,77.09111949320211,0.739062488079071,7371658529198212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09111949320211,28.890036630144138]}"
+1716349+643199,2020,5,28.889761146790338,77.09112248758639,0.7971875071525574,7371658529198205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09112248758639,28.889761146790338]}"
+1716349+643214,2020,20,28.89038996748922,77.09104613078725,0.40953123569488525,7371641349329034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09104613078725,28.89038996748922]}"
+1716350+643096,2020,2,28.885148297806385,77.09119435280913,0.6538281440734863,7371667119132695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09119435280913,28.885148297806385]}"
+1716350+643102,2020,1,28.885440250273724,77.09119435280913,0.4776562452316284,7371667119132702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09119435280913,28.885440250273724]}"
+1716350+643193,2020,4,28.889527584816467,77.09112697916282,0.6673437356948853,7371654234230905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09112697916282,28.889527584816467]}"
+1716351+643199,2020,2,28.8897746215196,77.09123926857333,0.5933593511581421,7371671414100094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09123926857333,28.8897746215196]}"
+1716351+643219,2020,9,28.890655469562084,77.09119934344959,0.7288281321525574,7371662824165521,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09119934344959,28.890655469562084]}"
+1716352+643099,2020,16,28.885196020805854,77.0912196179265,0.7026562690734863,7371667119132694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0912196179265,28.885196020805854]}"
+1716353+643129,2020,10,28.88657212753171,77.09131113379607,0.8117187023162842,7371675709067317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09131113379607,28.88657212753171]}"
+1716353+643192,2020,7,28.889444169825797,77.09133551663949,0.7516406774520874,7371680004034678,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09133551663949,28.889444169825797]}"
+1716353+643204,2020,14,28.88991257708109,77.09133230837061,0.8164843916893005,7371675709067392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09133230837061,28.88991257708109]}"
+1716354+643113,2020,3,28.88593432367999,77.09132910010175,0.5776562690734863,7371675709067305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09132910010175,28.88593432367999]}"
+1716354+643188,2020,3,28.889273062152636,77.09135904394455,0.6504687666893005,7371680004034675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09135904394455,28.889273062152636]}"
+1716354+643329,2020,8,28.8955968274548,77.09133471457227,0.8889062404632568,7371680004034815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09133471457227,28.8955968274548]}"
+1716355+643096,2020,7,28.88508734069782,77.0914253481679,0.5342187285423279,7371684299001877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0914253481679,28.88508734069782]}"
+1716355+643105,2020,5,28.885521098649296,77.09140096532448,0.45039063692092896,7371684299001887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09140096532448,28.885521098649296]}"
+1716355+643110,2020,12,28.885754660623167,77.09135155798384,0.783984363079071,7371675709067300,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09135155798384,28.885754660623167]}"
+1716355+643196,2020,12,28.889624902305577,77.09139647374805,0.6704687476158142,7371692888936570,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09139647374805,28.889624902305577]}"
+1716356+643134,2020,11,28.88685305522057,77.09135768286079,0.5577343702316284,7371671414100029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09135768286079,28.88685305522057]}"
+1716357+643188,2020,3,28.889288034074035,77.09147881931577,0.5464062690734863,7371692888936563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09147881931577,28.889288034074035]}"
+1716357+643207,2020,2,28.89013394763325,77.09150876315857,0.35234373807907104,7371697183903878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09150876315857,28.89013394763325]}"
+1716358+643220,2020,31,28.890551954019486,77.09146239849875,0.576953113079071,7371680004034701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09146239849875,28.890551954019486]}"
+1716359+643112,2020,3,28.885859464072983,77.09161356660837,0.1626562476158142,7371705773838375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09161356660837,28.885859464072983]}"
+1716359+643122,2020,17,28.88623288140677,77.09164351045119,0.7349218726158142,7371705773838382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09164351045119,28.88623288140677]}"
+1716360+643126,2020,5,28.88646432969762,77.0916255441455,0.6762499809265137,7371705773838388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0916255441455,28.88646432969762]}"
